,formulas,rmse,pearson_coeff,pval
86,(EA_A + EA_B**3)/((IP_B**2)),0.1707498254073376,0.4545564244098369,1.7875181042215366e-05
87,(EA_A + EA_B**3)/((IP_B**3)),0.1773236209608957,-0.41959945807035326,8.708039009314824e-05
88,(EA_A + EA_B**3)/((Z_A**2)),0.209087600522898,0.032285386942533884,0.7733900316546325
89,(EA_A + EA_B**3)/((Z_A**3)),0.2089025552431127,0.03619695937200518,0.7468079207774069
90,(EA_A + EA_B**3)/((Z_B**2)),0.2027256180682658,0.18879032695474202,0.08938787011110415
91,(EA_A + EA_B**3)/((Z_B**3)),0.2052469832833733,0.15091298536809766,0.17594037112257
92,(EA_A + EA_B**3)/((rp_A**2)),0.2112938635112931,-0.012963901828537926,0.9079729328793533
93,(EA_A + EA_B**3)/((rp_A**3)),0.1858567559943871,-0.36663617533899695,0.0007044204882435001
94,(EA_A + EA_B**3)/((rp_B**2)),0.1997315775230948,0.22721908872352523,0.04008188073716825
95,(EA_A + EA_B**3)/((rp_B**3)),0.2023160911012853,0.19175516709685705,0.08438086895664051
96,(EA_A + EA_B**3)/((rs_A**2)),0.2094328155013354,0.1062854488092051,0.3419214270239972
97,(EA_A + EA_B**3)/((rs_A**3)),0.2094191918877645,-0.08287260622877814,0.45918033189641844
98,(EA_A + EA_B**3)/((rs_B**2)),0.1966647928327608,0.2628532842613818,0.01704143205826542
99,(EA_A + EA_B**3)/((rs_B**3)),0.2003681705386617,0.2188323761893427,0.048245404297931484
100,(EA_A + EA_B**3)/(exp(EA_A)),0.2018442427739541,0.21364719738220245,0.05394566349291406
101,(EA_A + EA_B**3)/(exp(EA_B)),0.1922351251749325,0.3028773561733934,0.005677458939908239
102,(EA_A + EA_B**3)/(exp(IP_A)),0.2069910560291365,-0.10992682484136629,0.3255427648422004
103,(EA_A + EA_B**3)/(exp(IP_B)),0.2046780080341343,0.1510175412031513,0.1756376828779738
104,(EA_A + EA_B**3)/(exp(Z_A)),0.2087571970675132,0.04082769698115919,0.715718624780382
